zone,element,grandeur,source,reference,modele,ecart,incertitude
Bordure maison,C01,longueur_XY,Bordure maison.pdf p.2,2.86,2.860247,0.000247,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C01,longueur_3D,Bordure maison.pdf p.4,2.86,2.861663,0.001663,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C02,longueur_XY,Bordure maison.pdf p.2,0.0,0.000878,0.000878,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C02,longueur_3D,Bordure maison.pdf p.4,0.0,0.000878,0.000878,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C03,longueur_XY,Bordure maison.pdf p.2,0.0,0.000399,0.000399,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C03,longueur_3D,Bordure maison.pdf p.4,0.0,0.000399,0.000399,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C04,longueur_XY,Bordure maison.pdf p.2,2.19,2.191345,0.001345,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C04,longueur_3D,Bordure maison.pdf p.4,2.2,2.195198,-0.004802,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C05,longueur_XY,Bordure maison.pdf p.2,3.83,3.830608,0.000608,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C05,longueur_3D,Bordure maison.pdf p.4,3.83,3.834835,0.004835,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C06,longueur_XY,Bordure maison.pdf p.2,1.6,1.595207,-0.004793,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C06,longueur_3D,Bordure maison.pdf p.4,1.6,1.596335,-0.003665,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C07,longueur_XY,Bordure maison.pdf p.2,4.56,4.555001,-0.004999,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C07,longueur_3D,Bordure maison.pdf p.4,4.56,4.555177,-0.004823,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C08,longueur_XY,Bordure maison.pdf p.2,3.91,3.907732,-0.002268,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C08,longueur_3D,Bordure maison.pdf p.4,3.91,3.908768,-0.001232,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C09,longueur_XY,Bordure maison.pdf p.2,1.31,1.314094,0.004094,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C09,longueur_3D,Bordure maison.pdf p.4,1.35,1.352495,0.002495,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C10,longueur_XY,Bordure maison.pdf p.2,0.53,0.528009,-0.001991,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,C10,longueur_3D,Bordure maison.pdf p.4,0.53,0.532629,0.002629,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Bordure maison,total,parcours_XY,Bordure maison.pdf p.1 ou 3,20.78,20.78352,0.00352,Arrondi publication; precision du releve non fournie
Bordure maison,total,parcours_3D,Bordure maison.pdf p.1 ou 3,20.84,20.838376,-0.001624,Arrondi publication; precision du releve non fournie
Terrasse de droite,C01,longueur_XY,Terrasse de droite.pdf p.2,0.84,0.842855,0.002855,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C01,longueur_3D,Terrasse de droite.pdf p.4,0.84,0.842855,0.002855,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C02,longueur_XY,Terrasse de droite.pdf p.2,0.67,0.667098,-0.002902,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C02,longueur_3D,Terrasse de droite.pdf p.4,0.67,0.667098,-0.002902,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C03,longueur_XY,Terrasse de droite.pdf p.2,3.55,3.546369,-0.003631,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C03,longueur_3D,Terrasse de droite.pdf p.4,3.55,3.546595,-0.003405,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C04,longueur_XY,Terrasse de droite.pdf p.2,0.53,0.529819,-0.000181,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C04,longueur_3D,Terrasse de droite.pdf p.4,0.53,0.529913,-8.7e-05,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C05,longueur_XY,Terrasse de droite.pdf p.2,2.82,2.819203,-0.000797,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C05,longueur_3D,Terrasse de droite.pdf p.4,2.82,2.819646,-0.000354,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C06,longueur_XY,Terrasse de droite.pdf p.2,2.59,2.589955,-4.5e-05,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C06,longueur_3D,Terrasse de droite.pdf p.4,2.59,2.59065,0.00065,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C07,longueur_XY,Terrasse de droite.pdf p.2,0.46,0.457074,-0.002926,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C07,longueur_3D,Terrasse de droite.pdf p.4,0.46,0.457512,-0.002488,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C08,longueur_XY,Terrasse de droite.pdf p.2,2.15,2.146179,-0.003821,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C08,longueur_3D,Terrasse de droite.pdf p.4,2.16,2.163096,0.003096,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C09,longueur_XY,Terrasse de droite.pdf p.2,4.92,4.915726,-0.004274,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C09,longueur_3D,Terrasse de droite.pdf p.4,4.92,4.917719,-0.002281,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C10,longueur_XY,Terrasse de droite.pdf p.2,2.32,2.318201,-0.001799,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C10,longueur_3D,Terrasse de droite.pdf p.4,2.32,2.321305,0.001305,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C11,longueur_XY,Terrasse de droite.pdf p.2,1.44,1.443526,0.003526,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C11,longueur_3D,Terrasse de droite.pdf p.4,1.44,1.444392,0.004392,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C12,longueur_XY,Terrasse de droite.pdf p.2,1.15,1.149107,-0.000893,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C12,longueur_3D,Terrasse de droite.pdf p.4,1.15,1.149281,-0.000719,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C13,longueur_XY,Terrasse de droite.pdf p.2,0.12,0.117631,-0.002369,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C13,longueur_3D,Terrasse de droite.pdf p.4,0.12,0.119319,-0.000681,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C14,longueur_XY,Terrasse de droite.pdf p.2,0.76,0.756662,-0.003338,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C14,longueur_3D,Terrasse de droite.pdf p.4,0.76,0.761996,0.001996,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C15,longueur_XY,Terrasse de droite.pdf p.2,1.62,1.618364,-0.001636,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C15,longueur_3D,Terrasse de droite.pdf p.4,1.62,1.618487,-0.001513,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C16,longueur_XY,Terrasse de droite.pdf p.2,0.91,0.906329,-0.003671,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C16,longueur_3D,Terrasse de droite.pdf p.4,0.91,0.907707,-0.002293,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C17,longueur_XY,Terrasse de droite.pdf p.2,0.5,0.500427,0.000427,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C17,longueur_3D,Terrasse de droite.pdf p.4,0.5,0.500527,0.000527,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C18,longueur_XY,Terrasse de droite.pdf p.2,1.5,1.498384,-0.001616,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C18,longueur_3D,Terrasse de droite.pdf p.4,1.5,1.498685,-0.001315,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C19,longueur_XY,Terrasse de droite.pdf p.2,0.51,0.514533,0.004533,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C19,longueur_3D,Terrasse de droite.pdf p.4,0.52,0.514922,-0.005078,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C20,longueur_XY,Terrasse de droite.pdf p.2,0.93,0.925702,-0.004298,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C20,longueur_3D,Terrasse de droite.pdf p.4,0.93,0.928345,-0.001655,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C21,longueur_XY,Terrasse de droite.pdf p.2,0.0,0.000809,0.000809,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C21,longueur_3D,Terrasse de droite.pdf p.4,0.0,0.000809,0.000809,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C22,longueur_XY,Terrasse de droite.pdf p.2,1.63,1.633391,0.003391,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C22,longueur_3D,Terrasse de droite.pdf p.4,1.63,1.634156,0.004156,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C23,longueur_XY,Terrasse de droite.pdf p.2,2.6,2.595804,-0.004196,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,C23,longueur_3D,Terrasse de droite.pdf p.4,2.6,2.595804,-0.004196,Cotes et Z arrondis au cm; precision instrumentale inconnue; XY derive du PDF
Terrasse de droite,total,parcours_XY,Terrasse de droite.pdf p.1 ou 3,34.49,34.493148,0.003148,Arrondi publication; precision du releve non fournie
Terrasse de droite,total,parcours_3D,Terrasse de droite.pdf p.1 ou 3,34.53,34.530817,0.000817,Arrondi publication; precision du releve non fournie
Terrasse de droite,total,surface_projetee,Terrasse de droite.pdf p.1 ou 3,37.89,37.889069,-0.000931,Arrondi publication; precision du releve non fournie
