releve,point,X_deduit_m,Y_deduit_m,Z_local_cote_m,source_XY,source_Z
Bordure maison,P00,0.0,-0.0,0.0,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P01,2.8602472691164254,-0.0,-0.09,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P02,2.8610389132417215,-0.00038006615556588843,-0.09,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P03,2.861436779964067,-0.0004103752287312694,-0.09,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P04,5.020105259081236,0.37661044012863554,-0.22,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P05,8.84981685862814,0.4594682297167954,-0.4,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P06,10.335533948447154,-0.12133203084501455,-0.46,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P07,10.482681130990281,-4.673955918580208,-0.5,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P08,10.46992630324805,-8.581667196273619,-0.59,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P09,10.649291549469579,-9.88346209477551,-0.27,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Bordure maison,P10,11.017223491648528,-9.50475455544167,-0.34,Bordure maison.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Bordure maison.pdf p.2
Terrasse de droite,P00,0.0,-0.0,0.0,Terrasse de droite.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de droite.pdf p.2
Terrasse de droite,P01,0.8428546187681101,-0.0,-0.0,Terrasse de droite.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de droite.pdf p.2
